"text","relation"
"<e1>BRCA1</e1> abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with <e2>breast cancer</e2> only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with <e2>breast cancer</e2> only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with <e2>breast cancer</e2> only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with <e2>ovarian cancer</e2> only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with <e2>ovarian cancer</e2> only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with <e2>ovarian cancer</e2> only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only.","Association"
"<e1>BRCA1</e1> abnormalities were identified in all four families with ovarian cancer only, in 67% of 27 families with both breast and ovarian cancer, and in 34% of 35 families with breast cancer only.","Association"
"<e1>Apomorphine</e1>: an underutilized therapy for <e2>Parkinson's disease</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous apomorphine infusions is associated with marked reductions of preexisting <e1>levodopa</e1>-induced <e2>dyskinesias</e2>.","Positive_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous apomorphine infusions is associated with marked reductions of preexisting <e1>levodopa</e1>-induced <e2>dyskinesias</e2>.","Positive_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"A number of small scale clinical trials have unequivocally shown that intermittent subcutaneous <e1>apomorphine</e1> injections produce antiparkinsonian benefit close if not identical to that seen with <e2>levodopa</e2> and that apomorphine rescue injections can reliably revert off-periods even in patients with complex on-off motor swings.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"In addition, there is convincing clinical evidence that monotherapy with continuous subcutaneous <e1>apomorphine</e1> infusions is associated with marked reductions of preexisting levodopa-induced <e2>dyskinesias</e2>.","Negative_Correlation"
"<e1>Apomorphine</e1> was the first dopaminergic drug ever used to treat symptoms of <e2>Parkinson's disease</e2>.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"While powerful antiparkinsonian effects had been observed as early as 1951, the potential of treating fluctuating <e2>Parkinson's disease</e2> by subcutaneous administration of <e1>apomorphine</e1> has only recently become the subject of systematic study.","Negative_Correlation"
"<e2>Rab6c</e2> was found to be under-expressed in MCF7/AdrR and MES-SA/Dx5 (a human MDR <e1>uterine sarcoma</e1> cell line) compared with their non-MDR parental cell lines.","Association"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, vinblastine, and <e2>vincristine</e2>, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, vinblastine, and <e2>vincristine</e2>, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, vinblastine, and <e2>vincristine</e2>, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, vinblastine, and <e2>vincristine</e2>, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, vinblastine, and <e2>vincristine</e2>, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, <e2>vinblastine</e2>, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, <e2>vinblastine</e2>, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, <e2>vinblastine</e2>, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, <e2>vinblastine</e2>, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), taxol, <e2>vinblastine</e2>, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), <e2>taxol</e2>, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), <e2>taxol</e2>, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), <e2>taxol</e2>, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), <e2>taxol</e2>, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as doxorubicin (DOX), <e2>taxol</e2>, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as <e2>doxorubicin</e2> (DOX), taxol, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as <e2>doxorubicin</e2> (DOX), taxol, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as <e2>doxorubicin</e2> (DOX), taxol, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as <e2>doxorubicin</e2> (DOX), taxol, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"MCF7/AdrR cells expressing the exogenous <e1>Rab6c</e1> exhibited less resistance to several anti-cancer drugs, such as <e2>doxorubicin</e2> (DOX), taxol, vinblastine, and vincristine, than the control cells containing the empty vector.","Positive_Correlation"
"BACKGROUND: The <e1>calcineurin</e1> inhibitors cyclosporine and <e2>tacrolimus</e2> are both known to be nephrotoxic.","Negative_Correlation"
"BACKGROUND: The <e1>calcineurin</e1> inhibitors <e2>cyclosporine</e2> and tacrolimus are both known to be nephrotoxic.","Negative_Correlation"
"Compared with control patients, CRF and ESRD patients had higher preoperative serum <e2>creatinine</e2> levels, a greater percentage of patients with <e1>hepatorenal syndrome</e1>, higher percentage requirement for dialysis in the first 3 months postoperatively, and a higher 1-year serum creatinine.","Positive_Correlation"
"Compared with control patients, CRF and ESRD patients had higher preoperative serum <e2>creatinine</e2> levels, a greater percentage of patients with <e1>hepatorenal syndrome</e1>, higher percentage requirement for dialysis in the first 3 months postoperatively, and a higher 1-year serum creatinine.","Positive_Correlation"
"BACKGROUND: The calcineurin inhibitors cyclosporine and <e1>tacrolimus</e1> are both known to be <e2>nephrotoxic</e2>.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no <e1>CRF</e1> or ESRD, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"Patients were divided into three groups: Controls, no CRF or <e1>ESRD</e1>, n=748; CRF, sustained serum <e2>creatinine</e2> >2.5 mg/dl, n=41; and ESRD, n=45.","Positive_Correlation"
"BACKGROUND: The calcineurin inhibitors <e1>cyclosporine</e1> and tacrolimus are both known to be <e2>nephrotoxic</e2>.","Positive_Correlation"
"D90A-<e1>SOD1</e1> mediated <e2>amyotrophic lateral sclerosis</e2>: a single founder for all cases with evidence for a Cis-acting disease modifier in the recessive haplotype.","Association"
"<e1>D90A</e1>-SOD1 mediated <e2>amyotrophic lateral sclerosis</e2>: a single founder for all cases with evidence for a Cis-acting disease modifier in the recessive haplotype.","Negative_Correlation"
"More than 100 different heterozygous mutations in <e1>copper/zinc superoxide dismutase</e1> (SOD1) have been found in patients with <e2>amyotrophic lateral sclerosis</e2> (ALS), a fatal neurodegenerative disease.","Association"
"More than 100 different heterozygous mutations in copper/zinc superoxide dismutase (<e1>SOD1</e1>) have been found in patients with <e2>amyotrophic lateral sclerosis</e2> (ALS), a fatal neurodegenerative disease.","Association"
"More than 100 different heterozygous mutations in copper/zinc superoxide dismutase (<e1>SOD1</e1>) have been found in patients with <e2>amyotrophic lateral sclerosis</e2> (ALS), a fatal neurodegenerative disease.","Association"
"More than 100 different heterozygous mutations in copper/zinc superoxide dismutase (<e1>SOD1</e1>) have been found in patients with <e2>amyotrophic lateral sclerosis</e2> (ALS), a fatal neurodegenerative disease.","Association"
"More than 100 different heterozygous mutations in copper/zinc superoxide dismutase (<e1>SOD1</e1>) have been found in patients with <e2>amyotrophic lateral sclerosis</e2> (ALS), a fatal neurodegenerative disease.","Association"
"More than 100 different heterozygous mutations in copper/zinc superoxide dismutase (<e1>SOD1</e1>) have been found in patients with <e2>amyotrophic lateral sclerosis</e2> (ALS), a fatal neurodegenerative disease.","Association"
"The frequency of <e1>D90A</e1>-SOD1 is 50 times higher in Scandinavia (2.5%) than elsewhere, though <e2>ALS</e2> prevalence is not raised there.","Negative_Correlation"
"The frequency of <e1>D90A</e1>-SOD1 is 50 times higher in Scandinavia (2.5%) than elsewhere, though <e2>ALS</e2> prevalence is not raised there.","Negative_Correlation"
"The frequency of <e1>D90A</e1>-SOD1 is 50 times higher in Scandinavia (2.5%) than elsewhere, though <e2>ALS</e2> prevalence is not raised there.","Negative_Correlation"
"The frequency of <e1>D90A</e1>-SOD1 is 50 times higher in Scandinavia (2.5%) than elsewhere, though <e2>ALS</e2> prevalence is not raised there.","Negative_Correlation"
"We report on a new allele at the <e1>arylsulfatase A</e1> (ARSA) locus causing late-onset <e2>metachromatic leukodystrophy</e2> (MLD).","Association"
"We report on a new allele at the arylsulfatase A (<e1>ARSA</e1>) locus causing late-onset <e2>metachromatic leukodystrophy</e2> (MLD).","Association"
"We report on a new allele at the <e1>arylsulfatase</e1> A (ARSA) locus causing late-onset <e2>metachromatic leukodystrophy</e2> (MLD).","Association"
"We report on a new allele at the arylsulfatase A (<e1>ARSA</e1>) locus causing late-onset <e2>metachromatic leukodystrophy</e2> (MLD).","Association"
"We report on a new allele at the arylsulfatase A (<e1>ARSA</e1>) locus causing late-onset <e2>metachromatic leukodystrophy</e2> (MLD).","Association"
"We report on a new allele at the arylsulfatase A (<e1>ARSA</e1>) locus causing late-onset <e2>metachromatic leukodystrophy</e2> (MLD).","Association"
"In contrast to alleles that cause early-onset <e2>MLD</e2>, the <e1>arginine84</e1> to glutamine substitution is associated with some residual ARSA activity.","Positive_Correlation"
"In contrast to alleles that cause early-onset <e2>MLD</e2>, the <e1>arginine84 to glutamine</e1> substitution is associated with some residual ARSA activity.","Positive_Correlation"
"A large proportion of <e2>non-syndromic autosomal recessive deafness</e2> (NSARD) in many populations is caused by variants of the <e1>GJB2</e1> gene.","Association"
"A large proportion of <e2>non-syndromic autosomal recessive deafness</e2> (NSARD) in many populations is caused by variants of the <e1>GJB2</e1> gene.","Association"
"A large proportion of <e2>non-syndromic autosomal recessive deafness</e2> (NSARD) in many populations is caused by variants of the <e1>GJB2</e1> gene.","Association"
"A large proportion of <e2>non-syndromic autosomal recessive deafness</e2> (NSARD) in many populations is caused by variants of the <e1>GJB2</e1> gene.","Association"
"A large proportion of <e2>non-syndromic autosomal recessive deafness</e2> (NSARD) in many populations is caused by variants of the <e1>GJB2</e1> gene.","Association"
"Mutations in the <e2>PCSK9</e2> gene in Norwegian subjects with <e1>autosomal dominant hypercholesterolemia</e1>.","Association"
"<e2>Proprotein convertase subtilisin/kexin type 9</e2> (PCSK9) is at a locus for <e1>autosomal dominant hypercholesterolemia</e1>, and recent data indicate that the PCSK9 gene is involved in cholesterol biosynthesis.","Association"
